Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.75,-0.24,-2.002%,48978865.00,United States,1987,2666,Real Estate,Real Estate Investment Trusts
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,$59.44,0.57,0.968%,17355859922.00,United States,,838974,Real Estate,Real Estate Investment Trusts
IRS,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),$6.25,0.06,0.969%,506960913.00,Argentina,,39909,Real Estate,Homebuilding
IRT,Independence Realty Trust Inc. Common Stock,$12.98,0.10,0.776%,2916743900.00,United States,2013,1308676,Real Estate,Real Estate Investment Trusts
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,$7.56,0.15,2.024%,366362333.00,United States,2009,897559,Real Estate,Real Estate Investment Trusts
IVT,InvenTrust Properties Corp. Common Stock,$24.47,0.25,1.032%,1652491767.00,United States,2021,194013,Real Estate,Real Estate Investment Trusts
JBGS,JBG SMITH Properties Common Shares ,$13.19,-0.08,-0.603%,1262286298.00,United States,2017,1963883,Real Estate,Real Estate Investment Trusts
JOE,St. Joe Company (The) Common Stock,$48.67,0.46,0.954%,2840967187.00,United States,,214014,Real Estate,Homebuilding
JZ,Jianzhi Education Technology Group Company Limited American Depositary Shares,$0.71,0.00,0.00%,42994050.00,China,2022,36840,Real Estate,Other Consumer Services
KIM,Kimco Realty Corporation (HC) Common Stock,$17.90,0.20,1.13%,11095747643.00,United States,,3356838,Real Estate,Real Estate Investment Trusts
KRC,Kilroy Realty Corporation Common Stock,$28.53,0.15,0.529%,3344844590.00,United States,1997,946419,Real Estate,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc. Common Stock,$11.43,-0.02,-0.175%,792257420.00,United States,2017,318680,Real Estate,Real Estate Investment Trusts
KRG,Kite Realty Group Trust Common Stock,$20.83,0.17,0.823%,4569838396.00,United States,2004,1792167,Real Estate,Real Estate Investment Trusts
KUKE,Kuke Music Holding Limited American Depositary Shares each representing one Ordinary Share,$1.09,0.00,0.00%,23746331.00,,2021,19014,Real Estate,Other Consumer Services
LADR,Ladder Capital Corp Class A Common Stock,$10.45,0.10,0.966%,1326227150.00,United States,2014,356132,Real Estate,Real Estate Investment Trusts
LAMR,Lamar Advertising Company Class A Common Stock,$92.96,0.98,1.065%,9481758343.00,United States,1996,251577,Real Estate,Real Estate Investment Trusts
LAND,Gladstone Land Corporation Common Stock,$13.83,0.21,1.542%,495645653.00,United States,1993,142808,Real Estate,Real Estate Investment Trusts
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,$23.805,-0.095,-0.397%,853134112.00,United States,,324,Real Estate,Real Estate Investment Trusts
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,$17.64,0.1299,0.742%,632190117.00,United States,,32162,Real Estate,Real Estate Investment Trusts
LANDP,Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock,$17.93,0.1585,0.892%,0.00,United States,,13216,Real Estate,Real Estate Investment Trusts
LAUR,Laureate Education Inc. Common Stock,$13.55,0.11,0.818%,2132327809.00,United States,2017,651341,Real Estate,Other Consumer Services
LFT,Lument Finance Trust Inc. Common Stock,$1.99,-0.01,-0.50%,103939992.00,United States,2013,13093,Real Estate,Real Estate Investment Trusts
LINC,Lincoln Educational Services Corporation Common Stock,$9.73,0.73,8.111%,305124140.00,United States,2005,377485,Real Estate,Other Consumer Services
